id,x,y
11,120.6459229,31.415683
11,120.6458959,31.41569712
11,120.645869,31.41571126
11,120.6458421,31.41572538
11,120.6458152,31.41573945
11,120.6457882,31.4157535
11,120.6457613,31.41576758
11,120.6457344,31.41578168
11,120.6457073,31.41579564
11,120.6456805,31.4158098
11,120.6456534,31.41582375
11,120.6456266,31.41583787
11,120.6455998,31.41585213
11,120.6455728,31.4158662
11,120.6455459,31.4158803
11,120.645519,31.41589444
11,120.645492,31.4159085
11,120.6454652,31.41592278
11,120.6454382,31.41593669
11,120.6454114,31.41595095
11,120.6453844,31.41596492
11,120.6453575,31.41597914
11,120.6453306,31.41599322
11,120.6453037,31.41600737
11,120.6452768,31.41602148
11,120.6452498,31.41603558
11,120.6452229,31.41604964
11,120.6451959,31.41606372
11,120.645169,31.41607782
11,120.6451421,31.41609189
11,120.6451151,31.41610598
11,120.6450882,31.41612009
11,120.6450613,31.41613418
11,120.6450344,31.4161483
11,120.6450074,31.41616241
11,120.6449805,31.41617647
11,120.6449536,31.41619062
11,120.6449267,31.41620475
11,120.6448998,31.41621884
11,120.6448728,31.41623294
11,120.6448459,31.41624703
11,120.6448188,31.41626095
12,120.646425,31.41545374
12,120.6463981,31.41546797
12,120.6463712,31.41548208
12,120.6463443,31.41549622
12,120.6463175,31.41551045
12,120.6462907,31.41552474
12,120.6462639,31.41553908
12,120.6462371,31.41555333
12,120.6462103,31.41556758
12,120.6461834,31.41558179
12,120.6461566,31.41559603
12,120.6461298,31.4156103
12,120.6461029,31.41562442
12,120.646076,31.41563862
12,120.646049,31.41565262
12,120.6460221,31.41566671
12,120.6459951,31.4156807
12,120.6459681,31.41569463
12,120.6459411,31.41570869
12,120.6459141,31.41572265
12,120.6458871,31.41573671
12,120.6458602,31.41575082
12,120.6458332,31.41576482
12,120.6458062,31.41577885
12,120.6457793,31.41579294
12,120.6457523,31.41580699
12,120.6457253,31.41582098
12,120.6456985,31.41583514
12,120.6456715,31.41584914
12,120.6456446,31.41586318
12,120.6456178,31.41587741
12,120.6455908,31.41589142
12,120.6455639,31.41590557
12,120.645537,31.41591969
12,120.6455101,31.41593382
12,120.6454832,31.41594805
12,120.6454562,31.41596201
12,120.6454294,31.41597623
12,120.6454023,31.41599016
12,120.6453754,31.41600416
12,120.6453484,31.41601821
12,120.6453214,31.41603223
12,120.6452947,31.41604665
12,120.6452675,31.41606027
12,120.6452411,31.41607492
12,120.6452139,31.41608865
12,120.6451871,31.41610289
12,120.6451601,31.41611693
12,120.6451332,31.41613098
12,120.6451063,31.41614511
12,120.6450793,31.4161591
12,120.6450523,31.41617314
12,120.6450252,31.41618703
12,120.6449983,31.41620115
12,120.644971,31.41621465
12,120.6449441,31.41622882
12,120.6449175,31.4162434
12,120.6448909,31.41625791
12,120.6448643,31.41627245
12,120.6448376,31.41628687
13,120.644468,31.4164796
13,120.6444409,31.41649344
13,120.6444138,31.41650729
13,120.6443868,31.41652123
13,120.6443597,31.41653515
13,120.6443327,31.41654911
13,120.6443057,31.41656315
13,120.6442788,31.4165772
13,120.6442518,31.41659127
13,120.6442249,31.41660534
13,120.6441979,31.41661945
13,120.644171,31.41663356
13,120.6441442,31.41664773
13,120.6441172,31.41666182
13,120.6440904,31.41667605
13,120.6440634,31.41669004
13,120.6440365,31.4167042
13,120.6440096,31.41671831
13,120.6439826,31.41673235
13,120.6439557,31.41674652
13,120.6439287,31.41676053
13,120.6439018,31.41677461
13,120.6438749,31.41678869
13,120.643848,31.41680282
13,120.6438211,31.41681697
13,120.6437941,31.41683108
13,120.6437672,31.41684517
13,120.6437403,31.41685929
13,120.6437133,31.41687329
13,120.6436864,31.41688748
13,120.6436595,31.41690152
13,120.6436326,31.41691565
13,120.6436056,31.41692969
13,120.6435788,31.41694394
13,120.6435518,31.41695798
13,120.6435249,31.41697205
13,120.6434979,31.4169861
13,120.6434711,31.41700028
13,120.643444,31.41701423
14,120.6444586,31.41645138
14,120.6444315,31.41646528
14,120.6444045,31.4164793
14,120.6443775,31.41649329
14,120.6443504,31.41650711
14,120.6443234,31.41652107
14,120.6442962,31.41653489
14,120.6442692,31.41654879
14,120.6442422,31.41656287
14,120.6442153,31.41657703
14,120.6441885,31.41659131
14,120.6441617,31.41660553
14,120.6441347,31.41661955
14,120.6441076,31.41663343
14,120.6440806,31.41664743
14,120.6440535,31.41666123
14,120.6440264,31.41667512
14,120.6439994,31.41668901
14,120.6439725,31.41670324
14,120.6439464,31.41671838
14,120.6439194,31.41673234
14,120.6438927,31.41674668
14,120.6438657,31.41676062
14,120.6438388,31.41677475
14,120.6438118,31.41678885
14,120.6437849,31.41680299
14,120.643758,31.41681707
14,120.6437311,31.41683118
14,120.6437041,31.41684529
14,120.6436773,31.41685951
14,120.6436505,31.41687373
14,120.6436236,31.41688785
14,120.6435965,31.41690183
14,120.6435696,31.41691597
14,120.6435427,31.4169301
14,120.6435157,31.41694403
14,120.6434886,31.41695784
14,120.6434614,31.41697167
14,120.6434342,31.41698526
15,120.6444727,31.41650862
15,120.6444451,31.41652167
15,120.6444177,31.41653512
15,120.6443904,31.41654863
15,120.644363,31.41656217
15,120.6443358,31.41657579
16,120.643354,31.417149
16,120.6433716,31.41717145
16,120.6433903,31.41719325
